DATE,Inventory
1/1/1993,1420.9
4/1/1993,1415.8
7/1/1993,1390.7
10/1/1993,1377.3
1/1/1994,1381
4/1/1994,1416
7/1/1994,1428.3
10/1/1994,1445.3
1/1/1995,1677.2
4/1/1995,1705.5
7/1/1995,1650
10/1/1995,1629.8
1/1/1996,1419.3
4/1/1996,1454.9
7/1/1996,1540.7
10/1/1996,1422.6
1/1/1997,1391.9
4/1/1997,1381.4
7/1/1997,1400.9
10/1/1997,1399.7
1/1/1998,1451.3
4/1/1998,1289.1
7/1/1998,1332.9
10/1/1998,1369.7
1/1/1999,1405
4/1/1999,1378.1
7/1/1999,1346.4
10/1/1999,1406.6
1/1/2000,1305.2
4/1/2000,1346.7
7/1/2000,1411.1
10/1/2000,1397.2
1/1/2001,1234.2
4/1/2001,1152.9
7/1/2001,1121.5
10/1/2001,976.9
1/1/2002,1107.9
4/1/2002,1172.6
7/1/2002,1194.8
10/1/2002,1229.8
1/1/2003,1243.8
4/1/2003,1275.6
7/1/2003,1259.9
10/1/2003,1227.1
1/1/2004,1228
4/1/2004,1231.6
7/1/2004,1220.6
10/1/2004,1144.8
1/1/2005,1117.9
4/1/2005,1062.6
7/1/2005,959.2
10/1/2005,1012.2
1/1/2006,1044.3
4/1/2006,1075.2
7/1/2006,1072.4
10/1/2006,1105.5
1/1/2007,1087.8
4/1/2007,1068.6
7/1/2007,1070.6
10/1/2007,985.3
1/1/2008,947.3
4/1/2008,908.5
7/1/2008,1046.6
10/1/2008,1215.5
1/1/2009,1034.6
4/1/2009,904.9
7/1/2009,717.2
10/1/2009,733.2
1/1/2010,779.5
4/1/2010,808.8
7/1/2010,842.1
10/1/2010,796.7
1/1/2011,737.5
4/1/2011,710.8
7/1/2011,733.5
10/1/2011,806.7
1/1/2012,852.2
4/1/2012,931.5
7/1/2012,1020.6
10/1/2012,1067.8
1/1/2013,1105.5
4/1/2013,1163.4
7/1/2013,1166.8
10/1/2013,1231
1/1/2014,1277.3
4/1/2014,1223.3
7/1/2014,1230.3
10/1/2014,1218
1/1/2015,1232.7
4/1/2015,1232
7/1/2015,1230.8
10/1/2015,1156
1/1/2016,1120.9
4/1/2016,1119
7/1/2016,1162
10/1/2016,1156.8
1/1/2017,1147.229
4/1/2017,1158.626
7/1/2017,1015.979
10/1/2017,923.836
1/1/2018,896.643
4/1/2018,885.167
7/1/2018,783.748
10/1/2018,769.161
1/1/2019,704.299
4/1/2019,699.459
7/1/2019,656.141
10/1/2019,529.109
1/1/2020,578.02
4/1/2020,458.497
7/1/2020,517.481
10/1/2020,463.788
1/1/2021,351.989
4/1/2021,204.556
7/1/2021,89.505
10/1/2021,84.133
1/1/2022,81.727
4/1/2022,97.703
7/1/2022,112.575
10/1/2022,112.21
1/1/2023,130.646
4/1/2023,164.537
7/1/2023,199.396
10/1/2023,226.074
1/1/2024,237.585
4/1/2024,246.933
7/1/2024,215.592
10/1/2024,.
