DATE,Used Car Volume
1/1/1992,2177
4/1/1992,2207
7/1/1992,2016
10/1/1992,1583
1/1/1993,2526
4/1/1993,2393
7/1/1993,2167
10/1/1993,2060
1/1/1994,2669
4/1/1994,2769
7/1/1994,2887
10/1/1994,2470
1/1/1995,3296
4/1/1995,3303
7/1/1995,3223
10/1/1995,2558
1/1/1996,4046
4/1/1996,3538
7/1/1996,3221
10/1/1996,3006
1/1/1997,4089
4/1/1997,4088
7/1/1997,3741
10/1/1997,3374
1/1/1998,4523
4/1/1998,4723
7/1/1998,4138
10/1/1998,3691
1/1/1999,4921
4/1/1999,5047
7/1/1999,4509
10/1/1999,4095
1/1/2000,5434
4/1/2000,5161
7/1/2000,4860
10/1/2000,3928
1/1/2001,5359
4/1/2001,5169
7/1/2001,4291
10/1/2001,4103
1/1/2002,5212
4/1/2002,5199
7/1/2002,4855
10/1/2002,4377
1/1/2003,5877
4/1/2003,5324
7/1/2003,5072
10/1/2003,4436
1/1/2004,6055
4/1/2004,5548
7/1/2004,5546
10/1/2004,5348
1/1/2005,6602
4/1/2005,6018
7/1/2005,5684
10/1/2005,5125
1/1/2006,7009
4/1/2006,6522
7/1/2006,6204
10/1/2006,5473
1/1/2007,7276
4/1/2007,6850
7/1/2007,6591
10/1/2007,5714
1/1/2008,7291
4/1/2008,6653
7/1/2008,5662
10/1/2008,4561
1/1/2009,6017
4/1/2009,5654
7/1/2009,5195
10/1/2009,4761
1/1/2010,6580
4/1/2010,6195
7/1/2010,5971
10/1/2010,5522
1/1/2011,7661
4/1/2011,6460
7/1/2011,5951
10/1/2011,5642
1/1/2012,7757
4/1/2012,6658
7/1/2012,6383
10/1/2012,6070
1/1/2013,8287
4/1/2013,7037
7/1/2013,6328
10/1/2013,5684
1/1/2014,8714
4/1/2014,7682
7/1/2014,7727
10/1/2014,7136
1/1/2015,9579
4/1/2015,8591
7/1/2015,7913
10/1/2015,7262
1/1/2016,10181
4/1/2016,9104
7/1/2016,8607
10/1/2016,8632
1/1/2017,11149
4/1/2017,9938
7/1/2017,9418
10/1/2017,8375
1/1/2018,11482
4/1/2018,10001
7/1/2018,9214
10/1/2018,8668
1/1/2019,12338
4/1/2019,10357
7/1/2019,9639
10/1/2019,8647
1/1/2020,9115
4/1/2020,11386
7/1/2020,10494
10/1/2020,9034
1/1/2021,16904
4/1/2021,14769
7/1/2021,14450
10/1/2021,13055
1/1/2022,16455
4/1/2022,14738
7/1/2022,13689
10/1/2022,11251
1/1/2023,17229
4/1/2023,14595
7/1/2023,13822
10/1/2023,11210
1/1/2024,14253
4/1/2024,13094
